Id,Start,End,StartingSeconds,EndingSeconds,Paradigm,Operation,Vis Type,Important Quotes form the Interview,,,,,,,
P3,1:43,1:46,103,105,MVS,O2,Scatter,"Major Roadblocks: '' Sometimes my selection set is very small so if I have to get to the slection set since there is no way to say keep these selected points and exclude everything else. So that was a roadblock. Another one was when it was recommending me suggestions, lets say color it was recommending me based on profit and if I wanted to color based on IMDB rating and it is not one of the recommendations there is no way to fine tune it. So having a way to fine tune the recommendations might be helpful. "" General Experience: ""I would not say it was confusing but it took me sometime to find when to use one interaction versus another for a given task"" Which cases each interaction was more useful: ""so for cases that recommendation suggestions were not accurate I prefered using drag and drop. I think for filtering points demonstration was more usful because I could easily brush over the scatterplot and the recommendations were always as I expected"" Both Interaciton: ""I think it was, mostly for coloring to select the colors that I wanted.""",,,,,,,
P3,1:47,2:13,106,131,None,None,Scatter,,,,,,,,
P3,2:14,2:17,132,134,MVS,O1,Scatter,,,,,,,,
P3,2:18,2:25,135,141,None,None,Scatter,,,,,,,,
P3,2:26,2:45,142,160,VbD,O4,Scatter,,,,,,,,
P3,2:46,3:04,161,178,None,None,Scatter,,,,,,,,
P3,3:05,3:08,179,181,MVS,O2,Scatter,,,,,,,,
P3,3:09,3:35,182,207,None,None,Scatter,,,,,,,,
P3,3:36,3:40,208,211,MVS,O1,Scatter,,,,,,,,
P3,3:41,3:59,212,229,None,None,Scatter,,,,,,,,
P3,4:00,4:08,230,237,VbD,O4,Scatter,,,,,,,,
P3,4:09,5:09,238,297,None,None,Scatter,,,,,,,,
P3,5:10,5:15,298,302,MVS,O1,Scatter,,,,,,,,
P3,5:16,5:18,303,304,None,None,Scatter,,,,,,,,
P3,5:19,5:24,305,309,VbD,O2,Scatter,,,,,,,,
P3,5:25,5:27,310,311,None,None,Scatter,,,,,,,,
P3,5:28,5:33,312,316,VbD,O4,Scatter,,,,,,,,
P3,5:34,6:26,317,368,None,None,Scatter,,,,,,,,
P3,6:27,6:35,369,376,MVS,O1,Scatter,,,,,,,,
P3,6:36,6:44,377,384,None,None,Scatter,,,,,,,,
P3,6:45,6:48,385,387,MVS,O3,Bar,,,,,,,,
P3,6:49,7:20,388,418,None,None,Bar,,,,,,,,
P3,7:21,7:33,419,430,VbD,O5,Bar,,,,,,,,
P3,7:34,7:59,431,455,None,None,Bar,,,,,,,,
P3,8:00,8:04,456,459,MVS,O1,Bar,,,,,,,,
P3,8:05,8:14,460,468,None,None,Bar,,,,,,,,
P3,8:15,8:18,469,471,MVS,O3,Scatter,,,,,,,,
P3,8:19,8:26,472,478,None,None,Scatter,,,,,,,,
P3,8:27,8:43,479,498,VbD,O2,Scatter,,,,,,,,
P3,8:44,9:19,499,529,None,None,Scatter,,,,,,,,
P3,9:20,9:34,530,543,MVS,O2,Scatter,,,,,,,,
P3,9:35,9:47,544,555,None,None,Scatter,,,,,,,,
P3,9:48,10:05,556,572,VbD,O4,Scatter,,,,,,,,
P3,10:06,13:02,573,748,None,None,Scatter,,,,,,,,
P4,0:00,1:31,0,91,None,None,Bar,,,,,,,,
P4,1:32,1:37,92,96,MVS,O1,Bar,"Major Roadblocks: '' "" General experience:""I like filtering using demonstration approach! I dont like much about the coloring using demonstration approch, I would rather just drag the variable to the color using drag and drop. So dragging is easier than suggesting."" Which cases each interaction was more useful: ""So I used the dragging [drag and drop] in many cases because I knew what exactly the outcome would be. I just select and filter out sometime using demontration. That was good in terms of filtering out the points that we dont need. I would also add an option to allow users to filter in to rather than just filter out. ""   Both Interaciton: ""I do find it useful and fun to play around with. """,,,,,,,
P4,1:38,1:49,97,107,None,None,Bar,,,,,,,,
P4,1:50,1:54,108,111,MVS,O3,Scatter,,,,,,,,
P4,1:55,2:10,112,126,None,None,Scatter,,,,,,,,
P4,2:11,2:25,127,140,VbD,O4,Scatter,,,,,,,,
P4,2:26,2:57,141,171,None,None,Scatter,,,,,,,,
P4,2:58,3:03,172,176,MVS,O1,Scatter,,,,,,,,
P4,3:04,3:22,177,194,None,None,Scatter,,,,,,,,
P4,3:23,3:39,195,210,VbD,O2,Scatter,,,,,,,,
P4,3:40,4:59,211,289,None,None,Scatter,,,,,,,,
P4,5:00,5:06,290,295,MVS,O1,Scatter,,,,,,,,
P4,5:07,5:19,296,307,None,None,Scatter,,,,,,,,
P4,5:20,5:26,308,313,VbD,O4,Scatter,,,,,,,,
P4,5:27,5:36,314,322,None,None,Scatter,,,,,,,,
P4,5:37,5:53,323,388,VbD,O4,Scatter,,,,,,,,
P4,5:54,6:44,389,390,None,None,Scatter,,,,,,,,
P4,6:45,6:51,391,394,MVS,O1,Scatter,,,,,,,,
P4,6:52,6:58,395,400,None,None,Scatter,,,,,,,,
P4,6:59,7:03,401,404,MVS,O1,Scatter,,,,,,,,
P4,7:04,8:35,405,495,None,None,Scatter,,,,,,,,
P4,8:36,8:42,496,501,VbD,O4,Scatter,,,,,,,,
P4,8:43,8:51,502,509,None,None,Scatter,,,,,,,,
P4,8:52,9:04,510,521,VbD,O2,Scatter,,,,,,,,
P4,9:05,9:18,522,534,None,None,Scatter,,,,,,,,
P4,9:19,9:22,535,537,MVS,O1,Scatter,,,,,,,,
P4,9:23,9:41,538,555,None,None,Scatter,,,,,,,,
P4,9:42,9:45,556,558,MVS,O3,Bar,,,,,,,,
P4,9:46,10:02,559,574,None,None,Bar,,,,,,,,
P4,10:03,10:09,575,580,MVS,O1,Bar,,,,,,,,
P4,10:10,10:44,581,614,None,None,Bar,,,,,,,,
P4,10:45,10:54,615,623,MVS,O1,Bar,,,,,,,,
P4,10:55,10:57,624,625,None,None,Bar,,,,,,,,
P4,10:58,11:08,626,635,VbD,O4,Bar,,,,,,,,
P4,11:09,11:44,636,670,None,None,Bar,,,,,,,,
P4,11:45,11:53,671,678,VbD,O5,Bar,,,,,,,,
P4,11:54,12:16,679,700,None,None,Scatter,,,,,,,,
P4,12:17,12:21,701,704,MVS,O1,Scatter,,,,,,,,
P4,12:22,12:36,705,718,None,None,Scatter,,,,,,,,
P4,12:37,12:48,719,729,VbD,O4,Scatter,,,,,,,,
P4,12:49,12:59,730,739,None,None,Scatter,,,,,,,,
P4,13:00,13:05,740,744,VbD,O4,Scatter,,,,,,,,
P4,13:06,13:06,745,746,None,None,Scatter,,,,,,,,
P4,13:07,13:14,747,751,MVS,O4,Scatter,,,,,,,,
P4,13:15,13:23,752,759,None,None,Scatter,,,,,,,,
P4,13:24,13:28,760,763,MVS,O2,Scatter,,,,,,,,
P4,13:29,14:06,764,800,None,None,Scatter,,,,,,,,
P4,14:07,14:11,801,804,MVS,O1,Scatter,,,,,,,,
P4,14:12,14:17,805,809,None,None,Scatter,,,,,,,,
P4,14:18,14:21,810,812,VbD,O4,Scatter,,,,,,,,
P4,14:22,15:31,813,881,None,None,Scatter,,,,,,,,
P5,0:00,2:34,0,154,None,None,Scatter,,,,,,,,
P5,2:35,2:40,155,159,MVS,O1,Scatter,"General experience:""I think it is interesting tool and helpful. It is well-designed in terms of providing several functionity and the same time. I think it provides good range of features to do that. Also it is a well organized interface. The layout of the interface is very well designed.""  Which cases each interaction was more useful: ""I think that if I want to explore the dataset without a specific question I will use drag and drop. I use demonstration to directly manipulate the visualization. For example, for filtering I will show how the visualization should be changed using demonstration. If I know what attributes I want to map to color or size, in that case drag and drop was easier. "" ",,,,,,,
P5,2:41,2:48,160,166,None,None,Scatter,,,,,,,,
P5,2:49,2:52,167,169,MVS,O1,Scatter,,,,,,,,
P5,2:53,2:59,170,175,None,None,Scatter,,,,,,,,
P5,3:00,3:04,176,179,MVS,O3,Stack Bar,,,,,,,,
P5,3:05,3:41,180,215,None,None,Stack Bar,,,,,,,,
P5,3:42,3:45,216,218,MVS,O3,Scatter,,,,,,,,
P5,3:46,4:46,219,278,None,None,Scatter,,,,,,,,
P5,4:47,4:59,279,290,MVS,O1,Scatter,,,,,,,,
P5,5:00,8:04,291,475,None,None,Scatter,,,,,,,,
P5,8:05,8:50,476,519,VbD,O2,Scatter,,,,,,,,
P5,8:51,9:09,520,537,None,None,Scatter,,,,,,,,
P5,9:10,9:15,538,542,MVS,O1,Scatter,,,,,,,,
P5,9:16,9:29,543,555,None,None,Scatter,,,,,,,,
P5,9:30,9:40,556,565,VbD,O2,Scatter,,,,,,,,
P5,9:41,11:23,566,667,None,None,Scatter,,,,,,,,
P5,11:24,11:29,668,672,MVS,O1,Scatter,,,,,,,,
P5,11:30,12:42,673,744,None,None,Scatter,,,,,,,,
P5,12:43,12:47,745,748,VbD,O4,Scatter,,,,,,,,
P5,12:48,13:11,749,771,None,None,Scatter,,,,,,,,
P5,13:12,13:17,772,776,VbD,O4,Scatter,,,,,,,,
P5,13:18,13:19,777,777,None,None,Scatter,,,,,,,,
P5,13:20,13:25,778,783,VbD,O4,Scatter,,,,,,,,
P5,13:26,13:32,784,788,None,None,Scatter,,,,,,,,
P5,13:33,13:39,789,794,VbD,O4,Scatter,,,,,,,,
P5,13:40,13:59,795,813,None,None,Scatter,,,,,,,,
P5,14:00,14:11,814,824,VbD,O2,Scatter,,,,,,,,
P5,14:12,14:53,825,865,None,None,Scatter,,,,,,,,
P5,14:54,14:58,866,869,MVS,O1,Scatter,,,,,,,,
P5,14:59,15:37,870,907,None,None,Scatter,,,,,,,,
P5,16:38,16:43,908,912,VbD,O4,Scatter,,,,,,,,
P6,0:00,1:59,0,119,None,None,Scatter,,,,,,,,
P6,2:00,2:18,120,137,MVS,O4,Scatter,"Major Roadblocks: '' I prefer using drag and drop over demonstration for many tasks because it was easier to use."" Which cases each interaction was more useful: ""I think this direct manipulation method [demonstration] works when there is not that many data points or there is enough space between the data points. So that I can easily interact with the data points. For filter it was nice to use demonstration because I can visually see what are the points that I want to filter out so I can just select. Filtering using demonstration is more like recycle bin where I drag something and throw it out. It was very easy for me to use it because the operation is very familiar."" Both Ineteraction: ``I do not have anything against using two technique in one system but I was not excited about it too. I think for something like filtering where I can visually see what I am dragging and what is the status of the visualization it makes sense to have two techniques combined. I would always prefer drag and drop unless for certain operations like filtering. For filtering I actually even did not think of drag and drop. It felt more natural for me to use direct manipulation [demonstration]"" ",,,,,,,
P6,2:19,2:52,138,170,None,None,Scatter,,,,,,,,
P6,2:53,2:58,171,175,MVS,O2,Scatter,,,,,,,,
P6,2:59,3:24,176,200,None,None,Scatter,,,,,,,,
P6,3:25,3:40,201,215,VbD,O2,Scatter,,,,,,,,
P6,3:41,4:26,216,260,None,None,Scatter,,,,,,,,
P6,4:27,4:35,261,268,VbD,O4,Scatter,,,,,,,,
P6,4:36,4:47,269,279,None,None,Scatter,,,,,,,,
P6,4:48,4:53,280,284,VbD,O4,Scatter,,,,,,,,
P6,4:54,5:35,285,325,None,None,Scatter,,,,,,,,
P6,5:36,5:40,326,329,VbD,O4,Scatter,,,,,,,,
P6,5:41,5:40,330,328,None,None,Scatter,,,,,,,,
P6,6:10,6:14,329,332,MVS,O2,Scatter,,,,,,,,
P6,6:15,7:49,333,426,None,None,Scatter,,,,,,,,
P6,7:50,7:55,427,431,MVS,O2,Scatter,,,,,,,,
P6,7:56,8:42,432,477,None,None,Scatter,,,,,,,,
P6,8:43,8:47,478,481,MVS,O1,Scatter,,,,,,,,
P6,8:48,8:59,482,492,None,None,Scatter,,,,,,,,
P6,9:00,9:03,493,495,MVS,O3,Bar,,,,,,,,
P6,9:04,9:40,496,531,None,None,Bar,,,,,,,,
P6,9:41,9:43,532,533,MVS,O3,Scatter,,,,,,,,
P6,9:44,10:21,534,570,None,None,Scatter,,,,,,,,
P6,10:22,10:27,571,575,MVS,O2,Scatter,,,,,,,,
P6,10:28,11:09,576,616,None,None,Scatter,,,,,,,,
P6,11:10,11:15,617,621,MVS,O2,Scatter,,,,,,,,
P6,10:00,13:04,622,805,None,None,Scatter,,,,,,,,
P6,13:05,13:09,806,809,MVS,O1,Scatter,,,,,,,,
P6,13:10,14:17,810,876,None,None,Scatter,,,,,,,,
P6,14:18,14:26,877,884,VbD,O4,Scatter,,,,,,,,
P6,14:27,15:16,885,933,None,None,Scatter,,,,,,,,
P6,15:17,15:21,934,937,MVS,O2,Scatter,,,,,,,,
P6,15:22,16:29,938,1004,None,None,Scatter,,,,,,,,
P7,0:00,1:24,0,84,None,None,Scatter,,,,,,,,
P7,1:25,1:28,85,87,MVS,O2,Scatter,"General experience: ""ncie tool to use. ""      Which cases each interaction was more useful: ""So for the drag and drop thing was about picking which attribute I want to use to answer question. For example, if I pick up length there are few places that I can drop my attribute. It is very easy to learn and work with. The demonstration approach was mostly about deciding what value I should pick. For example, I used demonstration to filter data points based on the value. Sometime I did not rely on the demonstration because suggestions were not what I wanted. Drag and drop was easy to use though. "" Both Ineteraction: ``"" ",,,,,,,
P7,1:29,1:49,88,107,None,None,Scatter,,,,,,,,
P7,1:50,1:55,108,112,MVS,O2,Scatter,,,,,,,,
P7,1:56,2:00,113,116,MVS,O2,Scatter,,,,,,,,
P7,2:01,2:27,117,142,None,None,Scatter,,,,,,,,
P7,2:28,2:53,143,167,VbD,O4,Scatter,,,,,,,,
P7,2:54,3:30,168,203,None,None,Scatter,,,,,,,,
P7,3:31,3:35,204,207,VbD,O4,Scatter,,,,,,,,
P7,3:36,3:49,208,220,None,None,Scatter,,,,,,,,
P7,3:50,4:10,221,240,MVS,O4,Scatter,,,,,,,,
P7,4:11,4:10,241,242,None,None,Scatter,,,,,,,,
P7,4:53,4:58,243,244,MVS,O1,Scatter,,,,,,,,
P7,4:59,5:54,245,299,None,None,Scatter,,,,,,,,
P7,5:55,5:59,300,303,MVS,O3,Bar,,,,,,,,
P7,6:00,6:04,304,307,MVS,O3,Scatter,,,,,,,,
P7,6:05,6:14,308,316,None,None,Scatter,,,,,,,,
P7,6:15,6:18,317,319,MVS,O3,Stack Bar,,,,,,,,
P7,6:19,6:29,320,329,None,None,Stack Bar,,,,,,,,
P7,6:30,6:34,330,333,MVS,O3,Scatter,,,,,,,,
P7,6:35,6:42,334,340,MVS,O4,Scatter,,,,,,,,
P7,6:43,6:46,341,343,None,None,Scatter,,,,,,,,
P7,6:47,6:51,344,347,VbD,O4,Scatter,,,,,,,,
P7,6:52,7:34,348,389,None,None,Scatter,,,,,,,,
P7,7:35,7:50,390,404,MVS,O4,Scatter,,,,,,,,
P7,7:51,8:34,405,447,None,None,Scatter,,,,,,,,
P7,8:35,8:39,448,451,MVS,O3,Bar ,,,,,,,,
P7,8:40,8:50,452,461,None,None,Bar ,,,,,,,,
P7,8:51,8:54,462,464,MVS,O1,Bar ,,,,,,,,
P7,8:55,8:56,465,465,None,None,Bar ,,,,,,,,
P7,8:57,9:01,466,469,MVS,O1,Bar ,,,,,,,,
P7,9:02,9:26,470,493,None,None,Bar ,,,,,,,,
P7,9:20,9:26,494,499,MVS,O1,Bar ,,,,,,,,
P7,9:27,9:29,500,501,None,None,Bar ,,,,,,,,
P7,9:30,9:33,502,504,MVS,O1,Bar ,,,,,,,,
P7,9:34,10:16,505,546,None,None,Bar ,,,,,,,,
P7,10:17,10:25,547,554,VbD,O5,Bar ,,,,,,,,
P7,10:26,11:01,555,589,None,None,Bar ,,,,,,,,
P7,11:02,11:15,590,602,VbD,O5,Bar ,,,,,,,,
P7,11:16,12:50,603,696,None,None,Bar ,,,,,,,,
P8,0:00,2:11,0,131,MVS,O1,Scatter,"General experience: "" This is a great tool. ""      Which cases each interaction was more useful: ""Drag and drop I used fro two things. Either drag attributes to encodings or color. But this demonstration technique for filtering is very empowering. So generally in tools what happens is that you stuck with some drop-down menus, radio buttons or check boxes to filter but this is actually letting me to interact with the data which is really good. I also sometime used demonstration for assigning colors. For example, here the points on top right corner seems interesting to me because they have a high imdb rating. I love this feature [coloring by demo] because it allows me to color them directly instead of me thinking which attribute should I assign to color so that these points have the same color. This [coloring by demo] also allows me to visually separate out points which I am interested then the system take attributes that are similar between those points and suggest me attributes which is really good. I really prefer using this method [VbD] rather than choosing a predefine color categories [MVS]. That is th beatuy or advantage of this system""  Both Ineteraction: `` Yes definitely. Presenting the users with more options I know sometime might get overwhelming, but genrally people get familiar with the system after trying it a couple of times. At least that was the case for me. I think both technique work together well. In the scatterplot example when I was comparing the x and y axes. I first selected the points based on the visual interest and colored them using demonstration. I then dragthem them to the filter panel [Demonstration]. But these all depended on the choice of x and y axis that is where I think these two technique really worked together.  "" ",,,,,,,
P8,2:12,2:16,132,135,MVS,O1,Scatter,,,,,,,,
P8,2:17,2:52,136,170,None,None,Scatter,,,,,,,,
P8,2:53,2:56,171,173,MVS,O3,Bar,,,,,,,,
P8,2:57,3:07,174,183,None,None,Bar,,,,,,,,
P8,3:08,3:10,184,185,MVS,O5,Bar,,,,,,,,
P8,3:11,3:12,186,186,None,None,Bar,,,,,,,,
P8,3:13,3:15,187,188,MVS,O5,Bar,,,,,,,,
P8,3:16,4:01,189,233,None,None,Scatter,,,,,,,,
P8,4:02,4:05,234,236,MVS,O3,Scatter,,,,,,,,
P8,4:05,4:13,237,244,None,None,Scatter,,,,,,,,
P8,4:14,4:18,245,248,MVS,O1,Scatter,,,,,,,,
P8,4:19,4:18,249,249,None,None,Scatter,,,,,,,,
P8,4:58,5:02,250,251,VbD,O4,Scatter,,,,,,,,
P8,5:03,6:00,252,308,None,None,Scatter,,,,,,,,
P8,6:01,6:08,309,315,MVS,O4,Scatter,,,,,,,,
P8,6:09,7:20,316,386,None,None,Scatter,,,,,,,,
P8,7:21,7:24,387,389,MVS,O1,Scatter,,,,,,,,
P8,7:25,7:33,390,399,None,None,Scatter,,,,,,,,
P8,7:34,7:46,400,409,VbD,O4,Scatter,,,,,,,,
P8,7:47,8:34,410,456,None,None,Scatter,,,,,,,,
P8,8:35,8:41,457,462,VbD,O2,Scatter,,,,,,,,
P8,8:42,10:07,463,547,None,None,Scatter,,,,,,,,
P8,10:08,10:13,548,552,MVS,O1,Scatter,,,,,,,,
P8,10:14,10:53,553,591,None,None,Scatter,,,,,,,,
P8,10:54,10:59,592,596,MVS,O4,Scatter,,,,,,,,
P8,11:00,12:11,597,667,None,None,Scatter,,,,,,,,
P8,12:12,12:16,668,671,MVS,O4,Scatter,,,,,,,,
P8,12:17,15:01,672,835,None,None,Scatter,,,,,,,,
P8,15:02,15:13,836,846,MVS,O1,Scatter,,,,,,,,
P8,15:14,16:39,847,931,None,None,Scatter,,,,,,,,
P8,16:40,16:45,932,936,MVS,O1,Scatter,,,,,,,,
P8,16:46,16:52,937,942,None,None,Scatter,,,,,,,,
P8,16:53,16:56,943,945,MVS,O1,Scatter,,,,,,,,
P8,16:57,18:31,946,1039,None,None,Scatter,,,,,,,,
P8,18:32,18:34,1040,1041,VbD,O4,Scatter,,,,,,,,
P8,18:35,19:37,1042,1103,None,None,Scatter,,,,,,,,
P8,19:38,19:42,1104,1107,VbD,O2,Scatter,,,,,,,,
P9,0:00,0:40,0,40,None,None,Bar,,,,,,,,
P9,0:41,0:43,41,42,MVS,O3,Bar,"General experience: "" It took me a little bit time to use to this tool, but I could eventually figure out how to work with this tool""  Which cases each interaction was more useful: "" so I use Tableau to analyze data in my research. I dont know if filtering has been this user friendly in Tableau. The idea of selecting points and dragging them out was something that I liked! The only issue with that might be that it is not always very accurate so I had to use sliders on this panel [Filter panel] to get the exact values [fine tune].  ""  Both Ineteraction: `` For example, there were some movies that I did not want to watch them or movies similar to them. So, I could simply select them on the plot and drag them out. So, I did not have to look at the panel in that case. The panel was also useful, when I knew for example that I wanted to filter the movies with specific imdb rating values. So it was giving me that accuracy that I needed in that case. So yeah I think having both together [both interaction] is useful.  "" ",,,,,,,
P9,0:44,1:00,43,58,None,None,Bar,,,,,,,,
P9,1:01,1:08,59,65,VbD,O4,Bar,,,,,,,,
P9,1:09,1:21,66,77,None,None,Bar,,,,,,,,
P9,1:22,1:45,78,100,VbD,O4,Bar,,,,,,,,
P9,1:46,2:19,101,133,None,None,Bar,,,,,,,,
P9,2:20,2:35,134,148,VbD,O5,Bar,,,,,,,,
P9,2:36,2:54,149,166,None,None,Bar,,,,,,,,
P9,2:55,2:58,167,169,MVS,O1,Bar,,,,,,,,
P9,2:59,3:00,170,170,None,None,Bar,,,,,,,,
P9,3:01,3:05,171,174,MVS,O1,Bar,,,,,,,,
P9,3:06,3:15,175,183,None,None,Bar,,,,,,,,
P9,3:16,3:19,184,186,MVS,O1,Bar,,,,,,,,
P9,3:20,3:28,187,194,None,None,Bar,,,,,,,,
P9,3:29,3:40,195,205,VbD,O4,Bar,,,,,,,,
P9,3:41,3:58,206,222,None,None,Bar,,,,,,,,
P9,3:59,4:09,223,232,MVS,O4,Bar,,,,,,,,
P9,4:10,4:18,233,240,None,None,Bar,,,,,,,,
P9,4:19,4:20,241,241,MVS,O4,Bar,,,,,,,,
P9,4:21,4:32,242,252,None,None,Bar,,,,,,,,
P9,4:33,5:00,253,279,MVS,O4,Bar,,,,,,,,
P9,5:01,5:39,280,317,None,None,Bar,,,,,,,,
P9,5:40,5:49,318,326,VbD,O2,Bar,,,,,,,,
P9,5:50,6:22,327,358,None,None,Bar,,,,,,,,
P9,6:23,6:29,359,364,MVS,O3,Scatter,,,,,,,,
P9,6:30,6:31,365,365,None,None,Scatter,,,,,,,,
P9,6:32,6:36,366,369,MVS,O1,Scatter,,,,,,,,
P9,5:37,6:51,370,443,None,None,Scatter,,,,,,,,
P9,6:52,6:59,444,450,VbD,O2,Scatter,,,,,,,,
P9,7:00,7:06,451,456,None,None,Scatter,,,,,,,,
P9,7:07,7:10,457,459,MVS,O1,Scatter,,,,,,,,
P9,7:11,7:14,460,462,None,None,Scatter,,,,,,,,
P9,7:15,7:19,463,466,MVS,O4,Scatter,,,,,,,,
P9,7:20,7:39,467,485,None,None,Scatter,,,,,,,,
P9,7:40,7:44,486,489,MVS,O1,Scatter,,,,,,,,
